Card1,Card2,Card3,Card4,Card5,Payout,Payout_4,Payout_13,Payout_31,Payout_51,Increase
A,A,A,A,A,51,0,0,0,1,1
2,A,A,A,A,0,0,0,0,0,0
3,A,A,A,A,0,0,0,0,0,0
4,A,A,A,A,0,0,0,0,0,0
5,A,A,A,A,0,0,0,0,0,0
6,A,A,A,A,0,0,0,0,0,0
7,A,A,A,A,0,0,0,0,0,0
8,A,A,A,A,0,0,0,0,0,0
9,A,A,A,A,0,0,0,0,0,0
T,A,A,A,A,0,0,0,0,0,0
J,A,A,A,A,0,0,0,0,0,0
Q,A,A,A,A,0,0,0,0,0,0
K,A,A,A,A,0,0,0,0,0,0
A,2,A,A,A,0,0,0,0,0,0
2,2,A,A,A,4,1,0,0,0,1
3,2,A,A,A,0,0,0,0,0,0
4,2,A,A,A,0,0,0,0,0,0
5,2,A,A,A,0,0,0,0,0,0
6,2,A,A,A,0,0,0,0,0,0
7,2,A,A,A,4,1,0,0,0,1
8,2,A,A,A,4,1,0,0,0,1
9,2,A,A,A,4,1,0,0,0,1
T,2,A,A,A,0,0,0,0,0,0
J,2,A,A,A,0,0,0,0,0,0
Q,2,A,A,A,0,0,0,0,0,0
K,2,A,A,A,0,0,0,0,0,0
A,3,A,A,A,0,0,0,0,0,0
2,3,A,A,A,0,0,0,0,0,0
3,3,A,A,A,4,1,0,0,0,1
4,3,A,A,A,0,0,0,0,0,0
5,3,A,A,A,0,0,0,0,0,0
6,3,A,A,A,4,1,0,0,0,1
7,3,A,A,A,4,1,0,0,0,1
8,3,A,A,A,4,1,0,0,0,1
9,3,A,A,A,0,0,0,0,0,0
T,3,A,A,A,0,0,0,0,0,0
J,3,A,A,A,0,0,0,0,0,0
Q,3,A,A,A,0,0,0,0,0,0
K,3,A,A,A,0,0,0,0,0,0
A,4,A,A,A,0,0,0,0,0,0
2,4,A,A,A,0,0,0,0,0,0
3,4,A,A,A,0,0,0,0,0,0
4,4,A,A,A,4,1,0,0,0,1
5,4,A,A,A,4,1,0,0,0,1
6,4,A,A,A,4,1,0,0,0,1
7,4,A,A,A,4,1,0,0,0,1
8,4,A,A,A,0,0,0,0,0,0
9,4,A,A,A,0,0,0,0,0,0
T,4,A,A,A,0,0,0,0,0,0
J,4,A,A,A,0,0,0,0,0,0
Q,4,A,A,A,0,0,0,0,0,0
K,4,A,A,A,0,0,0,0,0,0
A,5,A,A,A,0,0,0,0,0,0
2,5,A,A,A,0,0,0,0,0,0
3,5,A,A,A,0,0,0,0,0,0
4,5,A,A,A,4,1,0,0,0,1
5,5,A,A,A,4,1,0,0,0,1
6,5,A,A,A,4,1,0,0,0,1
7,5,A,A,A,0,0,0,0,0,0
8,5,A,A,A,0,0,0,0,0,0
9,5,A,A,A,0,0,0,0,0,0
T,5,A,A,A,0,0,0,0,0,0
J,5,A,A,A,0,0,0,0,0,0
Q,5,A,A,A,0,0,0,0,0,0
K,5,A,A,A,0,0,0,0,0,0
A,6,A,A,A,0,0,0,0,0,0
2,6,A,A,A,0,0,0,0,0,0
3,6,A,A,A,4,1,0,0,0,1
4,6,A,A,A,4,1,0,0,0,1
5,6,A,A,A,4,1,0,0,0,1
6,6,A,A,A,4,1,0,0,0,1
7,6,A,A,A,0,0,0,0,0,0
8,6,A,A,A,0,0,0,0,0,0
9,6,A,A,A,0,0,0,0,0,0
T,6,A,A,A,0,0,0,0,0,0
J,6,A,A,A,0,0,0,0,0,0
Q,6,A,A,A,0,0,0,0,0,0
K,6,A,A,A,0,0,0,0,0,0
A,7,A,A,A,0,0,0,0,0,0
2,7,A,A,A,4,1,0,0,0,1
3,7,A,A,A,4,1,0,0,0,1
4,7,A,A,A,4,1,0,0,0,1
5,7,A,A,A,0,0,0,0,0,0
6,7,A,A,A,0,0,0,0,0,0
7,7,A,A,A,4,1,0,0,0,1
8,7,A,A,A,0,0,0,0,0,0
9,7,A,A,A,0,0,0,0,0,0
T,7,A,A,A,0,0,0,0,0,0
J,7,A,A,A,0,0,0,0,0,0
Q,7,A,A,A,0,0,0,0,0,0
K,7,A,A,A,0,0,0,0,0,0
A,8,A,A,A,0,0,0,0,0,0
2,8,A,A,A,4,1,0,0,0,1
3,8,A,A,A,4,1,0,0,0,1
4,8,A,A,A,0,0,0,0,0,0
5,8,A,A,A,0,0,0,0,0,0
6,8,A,A,A,0,0,0,0,0,0
7,8,A,A,A,0,0,0,0,0,0
8,8,A,A,A,4,1,0,0,0,1
9,8,A,A,A,0,0,0,0,0,0
T,8,A,A,A,0,0,0,0,0,0
J,8,A,A,A,0,0,0,0,0,0
Q,8,A,A,A,0,0,0,0,0,0
K,8,A,A,A,0,0,0,0,0,0
A,9,A,A,A,0,0,0,0,0,0
2,9,A,A,A,4,1,0,0,0,1
3,9,A,A,A,0,0,0,0,0,0
4,9,A,A,A,0,0,0,0,0,0
5,9,A,A,A,0,0,0,0,0,0
6,9,A,A,A,0,0,0,0,0,0
7,9,A,A,A,0,0,0,0,0,0
8,9,A,A,A,0,0,0,0,0,0
9,9,A,A,A,4,1,0,0,0,1
T,9,A,A,A,0,0,0,0,0,0
J,9,A,A,A,0,0,0,0,0,0
Q,9,A,A,A,0,0,0,0,0,0
K,9,A,A,A,0,0,0,0,0,0
A,T,A,A,A,0,0,0,0,0,0
2,T,A,A,A,0,0,0,0,0,0
3,T,A,A,A,0,0,0,0,0,0
4,T,A,A,A,0,0,0,0,0,0
5,T,A,A,A,0,0,0,0,0,0
6,T,A,A,A,0,0,0,0,0,0
7,T,A,A,A,0,0,0,0,0,0
8,T,A,A,A,0,0,0,0,0,0
9,T,A,A,A,0,0,0,0,0,0
T,T,A,A,A,0,0,0,0,0,0
J,T,A,A,A,0,0,0,0,0,0
Q,T,A,A,A,0,0,0,0,0,0
K,T,A,A,A,0,0,0,0,0,0
A,J,A,A,A,0,0,0,0,0,0
2,J,A,A,A,0,0,0,0,0,0
3,J,A,A,A,0,0,0,0,0,0
4,J,A,A,A,0,0,0,0,0,0
5,J,A,A,A,0,0,0,0,0,0
6,J,A,A,A,0,0,0,0,0,0
7,J,A,A,A,0,0,0,0,0,0
8,J,A,A,A,0,0,0,0,0,0
9,J,A,A,A,0,0,0,0,0,0
T,J,A,A,A,0,0,0,0,0,0
J,J,A,A,A,0,0,0,0,0,0
Q,J,A,A,A,0,0,0,0,0,0
K,J,A,A,A,0,0,0,0,0,0
A,Q,A,A,A,0,0,0,0,0,0
2,Q,A,A,A,0,0,0,0,0,0
3,Q,A,A,A,0,0,0,0,0,0
4,Q,A,A,A,0,0,0,0,0,0
5,Q,A,A,A,0,0,0,0,0,0
6,Q,A,A,A,0,0,0,0,0,0
7,Q,A,A,A,0,0,0,0,0,0
8,Q,A,A,A,0,0,0,0,0,0
9,Q,A,A,A,0,0,0,0,0,0
T,Q,A,A,A,0,0,0,0,0,0
J,Q,A,A,A,0,0,0,0,0,0
Q,Q,A,A,A,0,0,0,0,0,0
K,Q,A,A,A,0,0,0,0,0,0
A,K,A,A,A,0,0,0,0,0,0
2,K,A,A,A,0,0,0,0,0,0
3,K,A,A,A,0,0,0,0,0,0
4,K,A,A,A,0,0,0,0,0,0
5,K,A,A,A,0,0,0,0,0,0
6,K,A,A,A,0,0,0,0,0,0
7,K,A,A,A,0,0,0,0,0,0
8,K,A,A,A,0,0,0,0,0,0
9,K,A,A,A,0,0,0,0,0,0
T,K,A,A,A,0,0,0,0,0,0
J,K,A,A,A,0,0,0,0,0,0
Q,K,A,A,A,0,0,0,0,0,0
K,K,A,A,A,0,0,0,0,0,0
A,A,2,A,A,31,0,0,1,0,1
2,A,2,A,A,0,0,0,0,0,0
3,A,2,A,A,0,0,0,0,0,0
4,A,2,A,A,0,0,0,0,0,0
5,A,2,A,A,0,0,0,0,0,0
6,A,2,A,A,0,0,0,0,0,0
7,A,2,A,A,0,0,0,0,0,0
8,A,2,A,A,0,0,0,0,0,0
9,A,2,A,A,0,0,0,0,0,0
T,A,2,A,A,0,0,0,0,0,0
J,A,2,A,A,0,0,0,0,0,0
Q,A,2,A,A,0,0,0,0,0,0
K,A,2,A,A,0,0,0,0,0,0
A,2,2,A,A,0,0,0,0,0,0
2,2,2,A,A,13,0,1,0,0,1
3,2,2,A,A,0,0,0,0,0,0
4,2,2,A,A,0,0,0,0,0,0
5,2,2,A,A,0,0,0,0,0,0
6,2,2,A,A,0,0,0,0,0,0
7,2,2,A,A,4,1,0,0,0,1
8,2,2,A,A,4,1,0,0,0,1
9,2,2,A,A,4,1,0,0,0,1
T,2,2,A,A,0,0,0,0,0,0
J,2,2,A,A,0,0,0,0,0,0
Q,2,2,A,A,0,0,0,0,0,0
K,2,2,A,A,0,0,0,0,0,0
A,3,2,A,A,0,0,0,0,0,0
2,3,2,A,A,0,0,0,0,0,0
3,3,2,A,A,4,1,0,0,0,1
4,3,2,A,A,0,0,0,0,0,0
5,3,2,A,A,0,0,0,0,0,0
6,3,2,A,A,4,1,0,0,0,1
7,3,2,A,A,4,1,0,0,0,1
8,3,2,A,A,4,1,0,0,0,1
9,3,2,A,A,0,0,0,0,0,0
T,3,2,A,A,0,0,0,0,0,0
J,3,2,A,A,0,0,0,0,0,0
Q,3,2,A,A,0,0,0,0,0,0
K,3,2,A,A,0,0,0,0,0,0
A,4,2,A,A,0,0,0,0,0,0
2,4,2,A,A,0,0,0,0,0,0
3,4,2,A,A,0,0,0,0,0,0
4,4,2,A,A,4,1,0,0,0,1
5,4,2,A,A,4,1,0,0,0,1
6,4,2,A,A,4,1,0,0,0,1
7,4,2,A,A,4,1,0,0,0,1
8,4,2,A,A,0,0,0,0,0,0
9,4,2,A,A,0,0,0,0,0,0
T,4,2,A,A,0,0,0,0,0,0
J,4,2,A,A,0,0,0,0,0,0
Q,4,2,A,A,0,0,0,0,0,0
K,4,2,A,A,0,0,0,0,0,0
A,5,2,A,A,0,0,0,0,0,0
2,5,2,A,A,0,0,0,0,0,0
3,5,2,A,A,0,0,0,0,0,0
4,5,2,A,A,4,1,0,0,0,1
5,5,2,A,A,4,1,0,0,0,1
6,5,2,A,A,4,1,0,0,0,1
7,5,2,A,A,0,0,0,0,0,0
8,5,2,A,A,0,0,0,0,0,0
9,5,2,A,A,0,0,0,0,0,0
T,5,2,A,A,0,0,0,0,0,0
J,5,2,A,A,0,0,0,0,0,0
Q,5,2,A,A,0,0,0,0,0,0
K,5,2,A,A,0,0,0,0,0,0
A,6,2,A,A,0,0,0,0,0,0
